	time	[fba__A]	[C]	[fba__B1]	[fba__B2]	[model__D]	fba__R1	fba__R2	R3	update__R3	model__R4	vR3
211	21.1	10.0	1.06805652972	0.0	0.0	3.91153026364	0.0	0.0	0.0	0.0147472544831	0.106805652972	0.0147472544831
212	21.2	10.0	1.05887175964	0.0	0.0	3.92216058422	0.0	0.0	0.0	0.0144555049786	0.105887175964	0.0144555049786
213	21.3	10.0	1.04974989527	0.0	0.0	3.93269940131	0.0	0.0	0.0	0.014169527239	0.104974989527	0.014169527239
214	21.4	10.0	1.04069087367	0.0	0.0	3.94314734362	0.0	0.0	0.0	0.0138892070802	0.104069087367	0.0138892070802
215	21.5	10.0	1.03169462137	0.0	0.0	3.95350503918	0.0	0.0	0.0	0.0136144325768	0.103169462137	0.0136144325768
216	21.6	10.0	1.02276105473	0.0	0.0	3.96377311522	0.0	0.0	0.0	0.0133450940177	0.102276105473	0.0133450940177
217	21.7	10.0	1.01389008026	0.0	0.0	3.97395219807	0.0	0.0	0.0	0.0130810838622	0.101389008026	0.0130810838622
218	21.8	10.0	1.0050815949	0.0	0.0	3.9840429131	0.0	0.0	0.0	0.0128222966972	0.10050815949	0.0128222966972
219	21.9	10.0	0.99633548634	0.0	0.0	3.99404588459	0.0	0.0	0.0	0.0125686291949	0.099633548634	0.0125686291949
220	22.0	10.0	0.987651633316	0.0	0.0	4.00396173562	0.0	0.0	0.0	0.0123199800717	0.0987651633316	0.0123199800717
221	22.1	10.0	0.979029905896	0.0	0.0	4.01379108804	0.0	0.0	0.0	0.0120762500476	0.0979029905896	0.0120762500476
222	22.2	10.0	0.970470165764	0.0	0.0	4.02353456235	0.0	0.0	0.0	0.011837341807	0.0970470165764	0.011837341807
223	22.3	10.0	0.961972266489	0.0	0.0	4.03319277763	0.0	0.0	0.0	0.0116031599591	0.0961972266489	0.0116031599591
224	22.4	10.0	0.953536053797	0.0	0.0	4.04276635142	0.0	0.0	0.0	0.0113736110006	0.0953536053797	0.0113736110006
225	22.5	10.0	0.945161365835	0.0	0.0	4.05225589971	0.0	0.0	0.0	0.0111486032777	0.0945161365835	0.0111486032777
226	22.6	10.0	0.936848033424	0.0	0.0	4.06166203681	0.0	0.0	0.0	0.01092804695	0.0936848033424	0.01092804695
227	22.7	10.0	0.928595880308	0.0	0.0	4.07098537532	0.0	0.0	0.0	0.0107118539543	0.0928595880308	0.0107118539543
228	22.8	10.0	0.920404723399	0.0	0.0	4.08022652603	0.0	0.0	0.0	0.0104999379698	0.0920404723399	0.0104999379698
229	22.9	10.0	0.912274373015	0.0	0.0	4.08938609785	0.0	0.0	0.0	0.0102922143832	0.0912274373015	0.0102922143832
230	23.0	10.0	0.904204633112	0.0	0.0	4.09846469778	0.0	0.0	0.0	0.0100886002551	0.0904204633112	0.0100886002551
231	23.1	10.0	0.896195301509	0.0	0.0	4.10746293081	0.0	0.0	0.0	0.00988901428697	0.0896195301509	0.00988901428697
232	23.2	10.0	0.888246170112	0.0	0.0	4.11638139989	0.0	0.0	0.0	0.00969337678873	0.0888246170112	0.00969337678873
233	23.3	10.0	0.880357025127	0.0	0.0	4.12522070584	0.0	0.0	0.0	0.00950160964669	0.0880357025127	0.00950160964669
234	23.4	10.0	0.872527647269	0.0	0.0	4.13398144733	0.0	0.0	0.0	0.00931363629255	0.0872527647269	0.00931363629255
235	23.5	10.0	0.864757811973	0.0	0.0	4.14266422079	0.0	0.0	0.0	0.00912938167278	0.0864757811973	0.00912938167278
236	23.6	10.0	0.857047289587	0.0	0.0	4.1512696204	0.0	0.0	0.0	0.00894877221863	0.0857047289587	0.00894877221863
237	23.7	10.0	0.849395845573	0.0	0.0	4.15979823799	0.0	0.0	0.0	0.00877173581681	0.0849395845573	0.00877173581681
238	23.8	10.0	0.841803240696	0.0	0.0	4.16825066305	0.0	0.0	0.0	0.00859820178065	0.0841803240696	0.00859820178065
239	23.9	10.0	0.834269231207	0.0	0.0	4.17662748262	0.0	0.0	0.0	0.00842810082187	0.0834269231207	0.00842810082187
240	24.0	10.0	0.826793569029	0.0	0.0	4.1849292813	0.0	0.0	0.0	0.00826136502296	0.0826793569029	0.00826136502296
241	24.1	10.0	0.819376001928	0.0	0.0	4.19315664118	0.0	0.0	0.0	0.00809792781004	0.0819376001928	0.00809792781004
242	24.2	10.0	0.81201627369	0.0	0.0	4.20131014181	0.0	0.0	0.0	0.00793772392626	0.081201627369	0.00793772392626
243	24.3	10.0	0.804714124289	0.0	0.0	4.20939036015	0.0	0.0	0.0	0.00778068940577	0.0804714124289	0.00778068940577
244	24.4	10.0	0.797469290046	0.0	0.0	4.21739787055	0.0	0.0	0.0	0.00762676154817	0.0797469290046	0.00762676154817
245	24.5	10.0	0.790281503794	0.0	0.0	4.22533324469	0.0	0.0	0.0	0.00747587889349	0.0790281503794	0.00747587889349
246	24.6	10.0	0.783150495032	0.0	0.0	4.23319705157	0.0	0.0	0.0	0.00732798119761	0.0783150495032	0.00732798119761
247	24.7	10.0	0.776075990073	0.0	0.0	4.24098985747	0.0	0.0	0.0	0.00718300940826	0.0776075990073	0.00718300940826
248	24.8	10.0	0.769057712199	0.0	0.0	4.24871222591	0.0	0.0	0.0	0.0070409056414	0.0769057712199	0.0070409056414
249	24.9	10.0	0.762095381799	0.0	0.0	4.25636471763	0.0	0.0	0.0	0.00690161315813	0.0762095381799	0.00690161315813
250	25.0	10.0	0.755188716511	0.0	0.0	4.26394789055	0.0	0.0	0.0	0.00676507634203	0.0755188716511	0.00676507634203
251	25.1	10.0	0.74833743136	0.0	0.0	4.27146229977	0.0	0.0	0.0	0.00663124067695	0.074833743136	0.00663124067695
252	25.2	10.0	0.74154123889	0.0	0.0	4.27890849751	0.0	0.0	0.0	0.00650005272524	0.074154123889	0.00650005272524
253	25.3	10.0	0.734799849297	0.0	0.0	4.28628703312	0.0	0.0	0.0	0.00637146010644	0.0734799849297	0.00637146010644
254	25.4	10.0	0.728112970548	0.0	0.0	4.29359845301	0.0	0.0	0.0	0.00624541147633	0.0728112970548	0.00624541147633
255	25.5	10.0	0.721480308514	0.0	0.0	4.3008433007	0.0	0.0	0.0	0.00612185650644	0.0721480308514	0.00612185650644
256	25.6	10.0	0.714901567081	0.0	0.0	4.30802211672	0.0	0.0	0.0	0.00600074586398	0.0714901567081	0.00600074586398
257	25.7	10.0	0.708376448272	0.0	0.0	4.31513543864	0.0	0.0	0.0	0.00588203119211	0.0708376448272	0.00588203119211
258	25.8	10.0	0.701904652359	0.0	0.0	4.32218380107	0.0	0.0	0.0	0.00576566509064	0.0701904652359	0.00576566509064
259	25.9	10.0	0.695485877976	0.0	0.0	4.32916773556	0.0	0.0	0.0	0.00565160109713	0.0695485877976	0.00565160109713
260	26.0	10.0	0.689119822222	0.0	0.0	4.33608777068	0.0	0.0	0.0	0.0055397936683	0.0689119822222	0.0055397936683
261	26.1	10.0	0.68280618077	0.0	0.0	4.34294443195	0.0	0.0	0.0	0.00543019816186	0.068280618077	0.00543019816186
262	26.2	10.0	0.676544647966	0.0	0.0	4.34973824183	0.0	0.0	0.0	0.00532277081872	0.0676544647966	0.00532277081872
263	26.3	10.0	0.670334916933	0.0	0.0	4.35646971974	0.0	0.0	0.0	0.00521746874545	0.0670334916933	0.00521746874545
264	26.4	10.0	0.66417667966	0.0	0.0	4.363139382	0.0	0.0	0.0	0.00511424989722	0.066417667966	0.00511424989722
265	26.5	10.0	0.658069627106	0.0	0.0	4.36974774186	0.0	0.0	0.0	0.00501307306096	0.0658069627106	0.00501307306096
266	26.6	10.0	0.65201344928	0.0	0.0	4.37629530947	0.0	0.0	0.0	0.00491389783895	0.065201344928	0.00491389783895
267	26.7	10.0	0.64600783534	0.0	0.0	4.38278259188	0.0	0.0	0.0	0.00481668463267	0.064600783534	0.00481668463267
268	26.8	10.0	0.640052473673	0.0	0.0	4.38921009301	0.0	0.0	0.0	0.00472139462696	0.0640052473673	0.00472139462696
269	26.9	10.0	0.634147051983	0.0	0.0	4.39557831367	0.0	0.0	0.0	0.00462798977458	0.0634147051983	0.00462798977458
270	27.0	10.0	0.628291257367	0.0	0.0	4.40188775157	0.0	0.0	0.0	0.00453643278096	0.0628291257367	0.00453643278096
271	27.1	10.0	0.622484776403	0.0	0.0	4.40813890124	0.0	0.0	0.0	0.00444668708938	0.0622484776403	0.00444668708938
272	27.2	10.0	0.616727295219	0.0	0.0	4.41433225411	0.0	0.0	0.0	0.00435871686629	0.0616727295219	0.00435871686629
273	27.3	10.0	0.611018499571	0.0	0.0	4.42046829846	0.0	0.0	0.0	0.00427248698706	0.0611018499571	0.00427248698706
274	27.4	10.0	0.60535807492	0.0	0.0	4.42654751941	0.0	0.0	0.0	0.00418796302195	0.060535807492	0.00418796302195
275	27.5	10.0	0.599745706494	0.0	0.0	4.43257039896	0.0	0.0	0.0	0.00410511122234	0.0599745706494	0.00410511122234
276	27.6	10.0	0.594181079365	0.0	0.0	4.43853741594	0.0	0.0	0.0	0.00402389850727	0.0594181079365	0.00402389850727
277	27.7	10.0	0.58866387851	0.0	0.0	4.44444904604	0.0	0.0	0.0	0.00394429245022	0.058866387851	0.00394429245022
278	27.8	10.0	0.583193788878	0.0	0.0	4.4503057618	0.0	0.0	0.0	0.00386626126621	0.0583193788878	0.00386626126621
279	27.9	10.0	0.577770495453	0.0	0.0	4.4561080326	0.0	0.0	0.0	0.00378977379902	0.0577770495453	0.00378977379902
280	28.0	10.0	0.572393683317	0.0	0.0	4.46185632469	0.0	0.0	0.0	0.00371479950885	0.0572393683317	0.00371479950885
281	28.1	10.0	0.567063037703	0.0	0.0	4.46755110115	0.0	0.0	0.0	0.00364130846003	0.0567063037703	0.00364130846003
282	28.2	10.0	0.561778244058	0.0	0.0	4.47319282193	0.0	0.0	0.0	0.00356927130915	0.0561778244058	0.00356927130915
283	28.3	10.0	0.556538988096	0.0	0.0	4.47878194382	0.0	0.0	0.0	0.00349865929329	0.0556538988096	0.00349865929329
284	28.4	10.0	0.551344955854	0.0	0.0	4.48431892048	0.0	0.0	0.0	0.00342944421858	0.0551344955854	0.00342944421858
285	28.5	10.0	0.546195833743	0.0	0.0	4.48980420244	0.0	0.0	0.0	0.00336159844889	0.0546195833743	0.00336159844889
286	28.6	10.0	0.541091308596	0.0	0.0	4.49523823707	0.0	0.0	0.0	0.00329509489483	0.0541091308596	0.00329509489483
287	28.7	10.0	0.536031067723	0.0	0.0	4.50062146865	0.0	0.0	0.0	0.00322990700293	0.0536031067723	0.00322990700293
288	28.8	10.0	0.531014798952	0.0	0.0	4.50595433829	0.0	0.0	0.0	0.00316600874504	0.0531014798952	0.00316600874504
289	28.9	10.0	0.526042190682	0.0	0.0	4.51123728402	0.0	0.0	0.0	0.00310337460793	0.0526042190682	0.00310337460793
290	29.0	10.0	0.521112931921	0.0	0.0	4.51647074074	0.0	0.0	0.0	0.00304197958309	0.0521112931921	0.00304197958309
291	29.1	10.0	0.516226712333	0.0	0.0	4.52165514025	0.0	0.0	0.0	0.00298179915677	0.0516226712333	0.00298179915677
292	29.2	10.0	0.511383222278	0.0	0.0	4.52679091123	0.0	0.0	0.0	0.00292280930021	0.0511383222278	0.00292280930021
293	29.3	10.0	0.506582152854	0.0	0.0	4.5318784793	0.0	0.0	0.0	0.00286498645997	0.0506582152854	0.00286498645997
294	29.4	10.0	0.501823195934	0.0	0.0	4.53691826698	0.0	0.0	0.0	0.0028083075486	0.0501823195934	0.0028083075486
